date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:57:01	69292/69292	---M--	200	added ('OK')	image/jpeg	etag:%2210eac-57cc266963adc%22	http://ingridkuhn.com/themes/littleones_html/img/service2.jpg	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/img/service2.jpg	(from http://ingridkuhn.com/themes/littleones_html/)
19:57:04	72472/72472	---M--	200	added ('OK')	image/jpeg	etag:%2211b18-57cc26698f22c%22	http://ingridkuhn.com/themes/littleones_html/img/service3.jpg	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/img/service3.jpg	(from http://ingridkuhn.com/themes/littleones_html/)
19:57:06	66809/66809	---M--	200	added ('OK')	image/jpeg	etag:%22104f9-57cc266a79426%22	http://ingridkuhn.com/themes/littleones_html/img/service4.jpg	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/img/service4.jpg	(from http://ingridkuhn.com/themes/littleones_html/)
19:57:11	75059/75059	---M--	200	added ('OK')	image/jpeg	etag:%2212533-57cc266aab91b%22	http://ingridkuhn.com/themes/littleones_html/img/service5.jpg	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/img/service5.jpg	(from http://ingridkuhn.com/themes/littleones_html/)
19:57:12	42241/42241	---M--	200	added ('OK')	image/png	etag:%22a501-57cc266edff83%22	http://ingridkuhn.com/themes/littleones_html/img/sunbg.png	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/img/sunbg.png	(from http://ingridkuhn.com/themes/littleones_html/)
19:57:12	30839/30839	---M--	200	added ('OK')	image/jpeg	etag:%227877-57cc267240768%22	http://ingridkuhn.com/themes/littleones_html/img/testimonial1.jpg	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/img/testimonial1.jpg	(from http://ingridkuhn.com/themes/littleones_html/)
19:57:12	69028/69028	---M--	200	added ('OK')	image/jpeg	etag:%2210da4-57cc266b69bd6%22	http://ingridkuhn.com/themes/littleones_html/img/service6.jpg	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/img/service6.jpg	(from http://ingridkuhn.com/themes/littleones_html/)
19:57:14	35908/35908	---M--	200	added ('OK')	image/jpeg	etag:%228c44-57cc2672ed8f0%22	http://ingridkuhn.com/themes/littleones_html/img/testimonial2.jpg	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/img/testimonial2.jpg	(from http://ingridkuhn.com/themes/littleones_html/)
19:57:16	32369/32369	---M--	200	added ('OK')	image/jpeg	etag:%227e71-57cc267314dc6%22	http://ingridkuhn.com/themes/littleones_html/img/testimonial3.jpg	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/img/testimonial3.jpg	(from http://ingridkuhn.com/themes/littleones_html/)
19:57:16	27430/27430	---M--	200	added ('OK')	image/jpeg	etag:%226b26-57cc2673a98b9%22	http://ingridkuhn.com/themes/littleones_html/img/testimonial4.jpg	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/img/testimonial4.jpg	(from http://ingridkuhn.com/themes/littleones_html/)
19:57:22	57834/57834	---M--	200	added ('OK')	image/png	etag:%22e1ea-57cc2659a37ba%22	http://ingridkuhn.com/themes/littleones_html/img/boy1ornament.png	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/img/boy1ornament.png	(from http://ingridkuhn.com/themes/littleones_html/)
19:57:30	77135/77135	---M--	200	added ('OK')	image/jpeg	etag:%2212d4f-57cc264ab86a0%22	http://ingridkuhn.com/themes/littleones_html/img/about2.jpg	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/img/about2.jpg	(from http://ingridkuhn.com/themes/littleones_html/)
19:57:30	44993/44993	---M--	200	added ('OK')	image/png	etag:%22afc1-57cc266377182%22	http://ingridkuhn.com/themes/littleones_html/img/girl1ornament.png	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/img/girl1ornament.png	(from http://ingridkuhn.com/themes/littleones_html/)
19:57:31	105326/105326	---M--	200	added ('OK')	image/jpeg	etag:%2219b6e-57cc264aa65ce%22	http://ingridkuhn.com/themes/littleones_html/img/about1.jpg	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/img/about1.jpg	(from http://ingridkuhn.com/themes/littleones_html/)
19:57:31	87463/87463	---M--	200	added ('OK')	image/jpeg	etag:%22155a7-57cc264bc533d%22	http://ingridkuhn.com/themes/littleones_html/img/about3.jpg	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/img/about3.jpg	(from http://ingridkuhn.com/themes/littleones_html/)
19:57:35	37188/37188	---M--	200	added ('OK')	image/jpeg	etag:%229144-57cc266f4e8e6%22	http://ingridkuhn.com/themes/littleones_html/img/team1.jpg	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/img/team1.jpg	(from http://ingridkuhn.com/themes/littleones_html/)
